UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,BILL'S LIQUOR,1544 Pacific Coast Hwy,Harbor City,CA,90710,33.789433,-118.30409
,Walgreens,4142 Pacific Coast Hwy,Torrance,CA,90505,33.807392,-118.35716
,Walgreens,14250 Prairie Ave,Hawthorne,CA,90250,33.90221,-118.34384
,GAGE LIQUOR,6220 S San Pedro St,Los Angeles,CA,90003,33.982731,-118.26955
,Jalco Liquor,2556 Durfee Ave,El Monte,CA,91732,34.053089,-118.02082
,Joseph Liquor,11304 W Pico Blvd,Los Angeles,CA,90064,34.034866,-118.43925
,ARCO,1927 E 1st St,Los Angeles,CA,90033,34.046139,-118.21647
,7-Eleven,730 E Foothill Blvd,Pomona,CA,91767,34.107014,-117.73728
,Amigos Liquor,3010 W 7th St,Los Angeles,CA,90005,34.0597,-118.28942
,CVS,2103 S Atlantic Blvd,Monterey Park,CA,91754,34.038834,-118.14439
,CVS,11940 Garvey Ave,El Monte,CA,91732,34.062744,-118.02061
,CVS,2505 Santa Monica Blvd,Santa Monica,CA,90404,34.032822,-118.47495
,CVS,9089 Woodman Ave,Arleta,CA,91331,34.235073,-118.44028
,CVS,775 E Foothill Blvd,Pomona,CA,91767,34.107243,-117.73717
,CVS,2521 E Avenue S,Palmdale,CA,93550,34.558147,-118.0841
,CVS,14503 Ramona Blvd,Baldwin Park,CA,91706,34.086956,-117.959
,CVS,4105 W Avenue L,Lancaster,CA,93536,34.660229,-118.2042
,CVS,14735 Ventura Blvd,Sherman Oaks,CA,91403,34.151821,-118.45383
,CVS,1485 E Valley Blvd,Alhambra,CA,91801,34.079323,-118.10952
,CVS,2006 W J AVENUE,LANCASTER,CA,93536,34.689396,-118.16652
,CVS,222 N Market St,Inglewood,CA,90301,33.96529,-118.35194
,CVS,8491 Santa Monica Blvd,West Hollywood,CA,90069,34.089767,-118.37598
,CVS,12717 Glenoaks Blvd,Sylmar,CA,91342,34.301182,-118.44151
,CVS,1050 W Sunset Blvd,Los Angeles,CA,90012,34.064629,-118.2487
,CVS,8225 Garvey Ave,Rosemead,CA,91770,34.062679,-118.08972
,CVS,9045 Wilshire Blvd,Beverly Hills,CA,90211,34.067078,-118.38916
,STANLEY'S LIQUOR JR. MARKET,1803 S Pacific Ave,San Pedro,CA,90731,33.727699,-118.288
,CVS,313 S Garfield Ave,Monterey Park,CA,91754,34.059525,-118.12288
,CVS,2532 W Valley Blvd,Alhambra,CA,91803,34.076885,-118.15116
,CVS,13525 Beach Blvd,La Mirada,CA,90638,33.90876,-117.97784
,CVS,9256 Slauson Ave,Pico Rivera,CA,90660,33.96928,-118.09984
,CVS,20 E Orange Grove Blvd,Pasadena,CA,91103,34.157764,-118.15033
,CVS,650 E El Segundo Blvd,Los Angeles,CA,90059,33.916325,-118.26348
,CVS,900 N Lake Ave,Pasadena,CA,91104,34.16116,-118.13247
,CVS,21051 Sherman Way,Canoga Park,CA,91303,34.201107,-118.59232
,CVS,9920 Garvey Ave,El Monte,CA,91733,34.062721,-118.05206
,CVS,311 W Pacific Coast Hwy,Wilmington,CA,90744,33.79108,-118.26592
,CVS,6510 South St,Lakewood,CA,90713,33.858238,-118.10766
,CVS,8985 Venice Blvd,Los Angeles,CA,90034,34.027946,-118.39107
,CVS,861 N Hacienda Blvd,La Puente,CA,91744,34.035206,-117.95023
,CVS,2530 Glendale Blvd,Los Angeles,CA,90039,34.103344,-118.25916
,CVS,367 N Citrus Ave,Azusa,CA,91702,34.127922,-117.89017
,CVS,219 Lincoln Blvd,Venice,CA,90291,34.00161,-118.46849
,CVS,1122 E Broadway,Glendale,CA,91205,34.146194,-118.24003
,CVS,4320 Redondo Beach Blvd,Torrance,CA,90504,33.874954,-118.35101
,CVS,1747 N Cahuenga Blvd,Los Angeles,CA,90028,34.103458,-118.32958
,CVS,13181 Peyton Dr,Chino Hills,CA,91709,34.014484,-117.74493
,CVS,3880 W Rosecrans Ave,Hawthorne,CA,90250,33.901882,-118.34172
,CVS,2001 Pacific Coast Hwy,Lomita,CA,90717,33.789539,-118.3147
,CVS,44430 Challenger Way,Lancaster,CA,93535,34.690582,-118.11262
,CVS,101 W Foothill Blvd,Azusa,CA,91702,34.133636,-117.90813
,B&K LIQUOR,16210 Inglewood Ave,Lawndale,CA,90260,33.883282,-118.36131
,LADD LIQUOR,11336 Vanowen St,North Hollywood,CA,91605,34.193897,-118.37766
,Walgreens,3724 Crenshaw Blvd,Los Angeles,CA,90016,34.019039,-118.33504
,Walgreens,5913 Carson St,Lakewood,CA,90713,33.832359,-118.11572
,Walgreens,8201 Greenleaf Ave,Whittier,CA,90602,33.964764,-118.03805
,Walgreens,2000 W Whittier Blvd,La Habra,CA,90631,33.939774,-117.96876
,Walgreens,11604 Whittier Blvd,Whittier,CA,90601,33.982548,-118.05325
,Del's Liquor,4935 Long Beach Blvd,Long Beach,CA,90805,33.845371,-118.19341
,Midway Liquor Market,3186 W Pico Blvd,Los Angeles,CA,90019,34.047146,-118.31123
,Ken's Liquor & Deli,8400 S 8th Ave,Inglewood,CA,90305,33.962162,-118.32648
,Walgreens,2551 W Main St,Alhambra,CA,91801,34.095337,-118.15165
,Walgreens,2750 San Gabriel Blvd,Rosemead,CA,91770,34.06179,-118.09047
,7-Eleven,6598 Atlantic Ave,Long Beach,CA,90805,33.874359,-118.18611
,7 Days Liquor & Mart,2482 S Atlantic Blvd,Commerce,CA,90040,34.00211,-118.16898
,BANK LIQUOR STORE,1740 E Florence Ave,Los Angeles,CA,90001,33.974705,-118.24169
,BENGAL LIQUORS,3600 W 3rd St,Los Angeles,CA,90020,34.069023,-118.29454
,JULIENS LIQUOR,12109 Long Beach Blvd,Lynwood,CA,90262,33.917927,-118.20955
,S&K LIQUOR STORE,8240 Tampa Ave,Reseda,CA,91335,34.220062,-118.55344
,Jack's Liquor,3720 W Olympic Blvd,Los Angeles,CA,90019,34.053101,-118.31888
,Ace Liquor,6015 E Olympic Blvd,Los Angeles,CA,90022,34.013386,-118.14336
,"US Liquor, Inc.",2002 E Pacific Coast Hwy,Long Beach,CA,90804,33.789833,-118.16731
,7-Eleven,3018 W Manchester Blvd,Inglewood,CA,90305,33.959953,-118.32612
,BOURBON STREET LIQUOR,1360 E 7th St,Long Beach,CA,90813,33.775314,-118.17381
,Walgreens,3201 W 6th St,Los Angeles,CA,90020,34.06366,-118.29222
,PACIFIC LIQUOR,4228 Beverly Blvd,Los Angeles,CA,90004,34.076237,-118.30125
,EDDIE JR MARKET LIQUOR,2943 Santa Fe Ave,Long Beach,CA,90810,33.81089,-118.21555
,Don's Liquor Market,411 W Pacific Coast Hwy,Wilmington,CA,90744,33.790958,-118.26771
